Order Date,Product ID,Product,Quantity,Price,Cost,Discount,Revenue,Profit,Delivery Time (Days),Returned,Customer Name,Region,Discount Amount,Elasticity Score,Discount Action,Customer Segment,Profit Per Capita,Regional Population,Latitude,Longitude
2025-05-10,P1001,Dining Table,5,900,150,0.07,4185.0,3487.4999999999995,4,1,Alice Carter,North West,315.0,-0.19012192601777267,Stop Discounting,Occasional,0.15352933163457455,7737414,53.9,-2.5
2023-05-02,P1003,Coffee Table,3,200,40,0.04,576.0,460.7999999999999,2,0,Henry Hughes,London,24.0,-1.0276747871859784,Stop Discounting,Occasional,0.12743413010014815,9089736,51.5074,-0.1278
2024-04-11,P1001,Dining Table,5,900,150,0.25,3375.0,2812.5,12,0,Riley Moore,South East,1125.0,-0.19012192601777267,Stop Discounting,High-Value Repeat,0.12677922360209157,9642942,51.15,-0.15
2023-11-27,P1009,Chest of Drawers,1,600,100,0.0,600.0,500.0,4,0,Noah Jones,South West,0.0,-0.48018702906350963,Stop Discounting,Occasional,0.1951128029549917,5889695,50.95,-3.1
2023-03-29,P1000,Sofa,2,1200,300,0.17,1992.0,1494.0,6,0,Charlotte Evans,Midlands,408.0,-0.42994966442953036,Stop Discounting,Occasional,0.1026457890088573,11250368,52.6,-1.5
2025-05-21,P1003,Coffee Table,4,200,40,0.14,688.0,550.4,14,0,Quinn Bailey,South West,112.0,-1.0276747871859784,Stop Discounting,Occasional,0.1951128029549917,5889695,50.95,-3.1
2023-05-11,P1008,TV Stand,4,350,60,0.17,1162.0,962.8,11,0,Grace Walker,Scotland,238.0,0.018042399639151857,Stop Discounting,Occasional,0.20535641529502965,5546900,56.4907,-4.2026
2025-02-08,P1003,Coffee Table,1,200,40,0.04,192.0,153.6,4,0,Olivia Green,North West,8.0,-1.0276747871859784,Stop Discounting,Occasional,0.15352933163457455,7737414,53.9,-2.5
2023-12-10,P1000,Sofa,5,1200,300,0.22,4680.0,3510.0,10,0,Finley Thompson,Scotland,1320.0,-0.42994966442953036,Stop Discounting,Occasional,0.20535641529502965,5546900,56.4907,-4.2026
2025-03-16,P1005,Wardrobe,1,1500,250,0.24,1140.0,950.0,6,0,Isla Davies,London,360.0,-0.01323350519924152,Stop Discounting,Occasional,0.12743413010014815,9089736,51.5074,-0.1278
2024-01-21,P1003,Coffee Table,2,200,40,0.16,336.0,268.8,7,0,Katie Adams,South East,64.0,-1.0276747871859784,Stop Discounting,High-Value Repeat,0.12677922360209157,9642942,51.15,-0.15
2025-08-13,P1001,Dining Table,3,900,150,0.16,2268.0,1890.0,6,1,Mia Brown,South East,432.0,-0.19012192601777267,Stop Discounting,High-Value Repeat,0.12677922360209157,9642942,51.15,-0.15
2023-10-04,P1005,Wardrobe,1,1500,250,0.03,1455.0,1212.5,13,0,Liam Mitchell,North West,45.0,-0.01323350519924152,Stop Discounting,High-Value Repeat,0.15352933163457455,7737414,53.9,-2.5
2024-04-04,P1000,Sofa,2,1200,300,0.07,2232.0,1674.0,11,0,Olivia Green,South East,168.0,-0.42994966442953036,Stop Discounting,Occasional,0.12677922360209157,9642942,51.15,-0.15
2023-01-22,P1006,Bookshelf,1,300,50,0.02,294.0,245.0,9,0,Charlotte Evans,North West,6.0,-0.4337330301570941,Stop Discounting,Occasional,0.15352933163457455,7737414,53.9,-2.5
2023-09-10,P1009,Chest of Drawers,4,600,100,0.03,2328.0,1940.0,3,0,Liam Mitchell,Midlands,72.0,-0.48018702906350963,Stop Discounting,High-Value Repeat,0.1026457890088573,11250368,52.6,-1.5
