Order Date,Product ID,Product,Quantity,Price,Cost,Discount,Revenue,Profit,Delivery Time (Days),Returned,Customer Name,Region
2025-05-10,P1001,Dining Table,5,900,150,0.07,4185.0,3487.4999999999995,4,1,Alice Carter,North West
2023-05-02,P1003,Coffee Table,3,200,40,0.04,576.0,460.79999999999995,2,0,Henry Hughes,London
2024-04-11,P1001,Dining Table,5,900,150,0.25,3375.0,2812.5,12,0,Riley Moore,South East
2023-11-27,P1009,Chest of Drawers,1,600,100,0.0,600.0,500.0,4,0,Noah Jones,South West
2023-03-29,P1000,Sofa,2,1200,300,0.17,1992.0,1494.0,6,0,Charlotte Evans,Midlands
2025-05-21,P1003,Coffee Table,4,200,40,0.14,688.0,550.4,14,0,Quinn Bailey,South West
2023-05-11,P1008,TV Stand,4,350,60,0.17,1162.0,962.8,11,0,Grace Walker,Scotland
2025-02-08,P1003,Coffee Table,1,200,40,0.04,192.0,153.6,4,0,Olivia Green,North West
2023-12-10,P1000,Sofa,5,1200,300,0.22,4680.0,3510.0,10,0,Finley Thompson,Scotland
2025-03-16,P1005,Wardrobe,1,1500,250,0.24,1140.0,950.0,6,0,Isla Davies,London
2024-01-21,P1003,Coffee Table,2,200,40,0.16,336.0,268.8,7,0,Katie Adams,South East
2025-08-13,P1001,Dining Table,3,900,150,0.16,2268.0,1890.0,6,1,Mia Brown,South East
2023-10-04,P1005,Wardrobe,1,1500,250,0.03,1455.0,1212.5,13,0,Liam Mitchell,North West
2024-04-04,P1000,Sofa,2,1200,300,0.07,2232.0,1674.0,11,0,Olivia Green,South East
2023-01-22,P1006,Bookshelf,1,300,50,0.02,294.0,245.0,9,0,Charlotte Evans,North West
2023-09-10,P1009,Chest of Drawers,4,600,100,0.03,2328.0,1940.0,3,0,Liam Mitchell,Midlands
2025-01-17,P1001,Dining Table,5,900,150,0.24,3420.0,2850.0,5,0,Ben Taylor,Midlands
2025-05-06,P1004,Bed Frame,1,1000,200,0.16,840.0,672.0,10,0,Charlotte Evans,Midlands
2024-04-19,P1001,Dining Table,2,900,150,0.22,1404.0,1170.0,8,0,Mia Brown,North West
2024-05-25,P1007,Office Desk,4,800,120,0.15,2720.0,2312.0,4,0,Liam Mitchell,London
2024-11-30,P1005,Wardrobe,2,1500,250,0.18,2460.0,2050.0,2,0,Liam Mitchell,Midlands
2025-09-02,P1004,Bed Frame,1,1000,200,0.2,800.0,640.0,10,1,Charlotte Evans,London
2023-07-09,P1008,TV Stand,3,350,60,0.24,798.0,661.2,5,0,Henry Hughes,London
2025-08-15,P1007,Office Desk,3,800,120,0.2,1920.0,1632.0,3,0,Mia Brown,North West
2024-11-17,P1008,TV Stand,1,350,60,0.21,276.5,229.10000000000002,2,0,Henry Hughes,North East
2025-08-15,P1000,Sofa,5,1200,300,0.18,4920.0,3690.0000000000005,7,0,Henry Hughes,South West
2024-07-16,P1005,Wardrobe,3,1500,250,0.15,3825.0,3187.5,10,0,Mia Brown,North West
2025-04-11,P1001,Dining Table,4,900,150,0.24,2736.0,2280.0,12,0,Grace Walker,North East
2024-10-08,P1003,Coffee Table,3,200,40,0.19,486.00000000000006,388.8,2,0,Poppy Edwards,Scotland
2023-01-21,P1007,Office Desk,3,800,120,0.14,2064.0,1754.3999999999999,13,0,Ella Robinson,North West
2025-04-20,P1002,Armchair,3,500,80,0.11,1335.0,1121.4,5,1,Henry Hughes,North West
2023-06-16,P1009,Chest of Drawers,1,600,100,0.05,570.0,475.0,12,0,Noah Jones,Scotland
